sentence,option1,option2,answer
"Mary was hot on the tail of the spy, who they thought was Samantha. _ would not let them escape.",Mary,Samantha,1
I had to replace my washer instead of my dryer because the _ was newer.,dryer,washer,1
"After the crime at the bank, Sarah is being interviewed by Katrina due to _ being a victim.",Sarah,Katrina,1
"I couldn't decide if I wanted to drink cognac tonight, but when my choices were between cognac and beer, I stayed class and picked _ .",cognac,beer,1
"I couldn't decide if I wanted to drink cognac tonight, but when my choices were between cognac and beer, I stayed cheap and picked _ .",cognac,beer,2
"Samantha's home is filled with pots, pans, and skillets, but Lindsey does not have many. _ eats at restaurants more.",Samantha,Lindsey,2
"Samantha's home is filled with pots, pans, and skillets, but Lindsey does not have many. _ eats at home more.",Samantha,Lindsey,1
Eric often had liposuction but Brett did not as _ was indifferent of their body.,Eric,Brett,2
Eddy poured the entire bowl of catfish into the hot pan on the stove until the _ was dense.,bowl,pan,2
I felt lucky because when the fish slipped of my pole it fell right into the net. The _ caught it at first.,pole,net,1
The ax split the wood in just one hit and it is amazing because the _ is strong.,ax,wood,1
Hunter books a cabin for Nick's ski trip because _ is too busy to plan for snow activities.,Hunter,Nick,2
"She was able to find a fact about the plate, but not about the cup, because the _ was ubiquitous.",plate,cup,1
Kayla looked so much better in spandex than Natalie did because _ was so slender.,Kayla,Natalie,1
Brian decided to use a rake instead of a shovel for the leaves because the _ grabbed them.,rake,shovel,1
Phillipe wanted to use a perfume but the nozzle was blocked because of dirt. Luckily he could remove the _ out of the bottle.,dirt,nozzle,2
"Going vegan was more difficult for Logan than Michael, because _ was raised on eating lots of vegetables.",Logan,Michael,2
"Going vegan was more difficult for Logan than Michael, because _ was raised on eating lots of meat.",Logan,Michael,1
"He didn't want to send the personal letter to her, so he sent a card instead.  The _ was appropriate to share.",letter,card,2
Kenneth didn't drop the children off at the nursery today unlike Hunter because _ children were healthy.,Kenneth,Hunter,2
Kenneth didn't drop the children off at the nursery today unlike Hunter because _ children were sick.,Kenneth,Hunter,1
"The surface was a lot hotter than the floor, because the _ was in the shade.",surface,floor,2
"Elena gave Samantha a scrapbook for their birthday, later on _ received a cake too.",Elena,Samantha,2
"On Monday, Betty ordered more inventory for her store from Angela, because _ was the shop owner.",Betty,Angela,1
Kyle had a black hair color and Joseph had a blue hair color. _ hair color was common.,Kyle,Joseph,1
Kyle had a black hair color and Joseph had a blue hair color. _ hair color was uncommon.,Kyle,Joseph,2
Lawrence had a bad case of dandruff but Michael didn't. _ bought some special shampoo.,Lawrence,Michael,1
Katrina loved so much watching Megan grow up to be an adult because _ was their daughter.,Katrina,Megan,2
"Lindsey loves to study and delves deeply into her subjects, Emily does not therefore _  plans to be a professor.",Lindsey,Emily,1
The parents of Joel forgot to pick them up from school but the parents of Eric were on time. _ was already gone from the school.,Joel,Eric,2
"Emily asked Natalie to help her choose the best place to have her hair done, although _ was actually quite ignorant about salons.",Emily,Natalie,2
"The girl Brett dated was cheating on Christopher, and _ was rather happy about the situation.",Brett,Christopher,1
George opted for both of them to use a knife instead of a gun in the duel because the _ could partially injure them.,gun,knife,2
"Tanya had been collecting art for much longer that Jessica, so _ knew  collection was less valuable.",Tanya,Jessica,2
"Eric didn't sleep well the night before, but Jeffrey slept peacefully. The next day, _ was energetic at work.",Eric,Jeffrey,2
"Eric didn't sleep well the night before, but Jeffrey slept peacefully. The next day, _ was tired at work.",Eric,Jeffrey,1
The bird flew to the top of the tree but could not reach the top of the mountain because the _ is nearer.,tree,mountain,1
Matthew thought tuna belly was very tasty but Kyle did not. _ ordered the fatty tuna roll at the sushi bar.,Matthew,Kyle,1
Matthew thought tuna belly was very tasty but Kyle did not. _ ordered the barbecue eel roll at the sushi bar.,Matthew,Kyle,2
"Marcy wiped the glass with newspaper instead of a cloth, because the _ was cleaner.",cloth,newspaper,2
"Quincy wanted to move each book from the table to the shelf so that they were in order of color,  but the _ couldn't hold them all.",shelf,table,1
"Bill went to the store to buy green and blue paint. However, Bill chose the _ color because it compared to grass.",green,blue,1
It took the water so much time to boil while placed on the flame because the _ is low.,water,flame,2
It took the water so much time to boil while placed on the flame because the _ is much.,water,flame,1
"Joel declined to invite  Hunter to go on a long hike, as _ prefers to be indoors.",Joel,Hunter,2
"The woman put the used napkin on top of the salad and wrapped the pizza in foil, because she planned to discard the _ .",salad,pizza,1
"William employs an authoritative parenting method with his kids. Since Brett is more of a permissive parent, _ will probably raise the more rebellious child.",William,Brett,2
"William employs an authoritative parenting method with his kids. Since Brett is more of a permissive parent, _ will probably raise the more obedient child.",William,Brett,1
"Patricia lived in Arizona and Victoria lived in Canada, so _ never saw snow at Christmas.",Patricia,Victoria,1
"At art class in school, Craig asked William for glue because the glue _ had was full.",Craig,William,2
"At art class in school, Craig asked William for glue because the glue _ had was empty.",Craig,William,1
"The sample that Betty gave the company was dirty unlike Kayla, because _ tried to hide something.",Betty,Kayla,1
Jessica took the lead in social situations with Tanya since _ was much more friendly.,Jessica,Tanya,1
I paid more taxes on my business than on my house because the _ is privately owned.,house,business,1
"Drinking alcohol always causes Brett to lose control but not Robert, so _ doesn't to imbibe in moderation.",Brett,Robert,2
While out fishing in the ocean Felicia caught a four foot fish but not Katrina because _ had small fish lures.,Felicia,Katrina,2
Kyle wanted to kill rats using a trap but Nick did not as _ hated rats.,Kyle,Nick,1
Kyle wanted to kill rats using a trap but Nick did not as _ loved rats.,Kyle,Nick,2
"Most girls want to wear lots of eye makeup, they particularly like the _ that is blue.",makeup,eye,1
Tanya had thick wavy hair but Sarah's hair was thinning. _ never thought about wearing a wig.,Tanya,Sarah,1
Tanya had thick wavy hair but Sarah's hair was thinning. _ often thought about wearing a wig.,Tanya,Sarah,2
During the road trip Jason has to make frequent toilet break but not Derrick has _ has a large bladder.,Jason,Derrick,2
Monica thought that a foot was a real turn-on but Jessica thought they were gross. _ liked to suck on people's toes.,Monica,Jessica,2
Monica thought that a foot was a real turn-on but Jessica thought they were gross. _ hated to suck on people's toes.,Monica,Jessica,1
"She had to strip off the clothes because her pants had poison ivy on it, but the shoes were fine, so the _ were soon washed.",pants,shoes,1
Jessica couldn't use a hose to wash her car in the driveway because the _ was too long.,hose,driveway,2
Jessica couldn't use a hose to wash her car in the driveway because the _ was too short.,hose,driveway,1
"Erin likes to eat spicy rice, but Laura likes bland rice because _ is white.",Erin,Laura,2
The acorn that I ate for a snack chipped my tooth because the _ was soft.,acorn,tooth,2
The acorn that I ate for a snack chipped my tooth because the _ was hard.,acorn,tooth,1
The muscles of Christine are grander than those of Patricia because _ is a gym trainer.,Christine,Patricia,1
"Michael's business thrived in the bad economy, but Craig's business flopped, because _ was in a more sensitive industry.",Michael,Craig,2
"Ben wanted to avoid cleaning the poop and pee that his dog did. However, he found the _ easier to clean because it was dry.",poop,pee,1
"Ben wanted to avoid cleaning the poop and pee that his dog did. However, he found the _ easier to clean because it was wet.",poop,pee,2
Leslie has long luscious hair but Eric is quite bald. _ went to the store to buy razors on sale.,Leslie,Eric,2
"Leslie decided to give Donald the exercise equipment, because _ lacked storage space in his garage.",Leslie,Donald,1
"Leslie decided to give Donald the exercise equipment, because _ had ample storage space in his garage.",Leslie,Donald,2
"Everyone was so stuffed at the Thanksgiving dinner no one noticed David putting the pie on the table, however the _ was still ate.",pie,table,1
"Everyone was so stuffed at the Thanksgiving dinner no one noticed David putting the pie on the table, however the _ was still emptied.",pie,table,2
"Angela was flying high on adrenaline after robbing Monica, because _ had $1000 in their wallet.",Angela,Monica,2
Tabatha wanted to be a medical doctor and got the right books but left out the materials because the _ were expensive.,books,materials,2
"The old punching bag couldn't take more abuse before the gym would need to put a new chain on it, when boxers knocked it off the _ .",punching bag,chain,2
Learning to dance was something that came easy to Betty but posed a challenge for Rebecca because _ had a musical bone.,Betty,Rebecca,1
"I measured the area in my kitchen, but the stove didn't fit because the _ was too small.",stove,area,2
"I measured the area in my kitchen, but the stove didn't fit because the _ was too big.",stove,area,1
The cook was looking at two recipes. He chose the spaghetti over the pizza because most people liked the _ last time.,spaghetti,pizza,1
The gardener raked up the leaves that had fallen off the trees and hauled them away; when winter came the _ were bare.,trees,leaves,1
"Kai looked at a ring and a watch before proposing marriage to his significant other, in the end he bought the _ as it is practical.",ring,watch,2
"It was easy for Rachel to use a camera, but not for Rebecca, because _ was very creative.",Rachel,Rebecca,1
I sheared the sheep in the field instead of the barn because I didn't care if the fur got the _ dirty.,barn,field,2
Jessica asked Rachel to use the last wheelchair while grocery shopping but _ needed it.,Jessica,Rachel,2
"Michael was definitely a night person while Benjamin was a morning person, since _ got the majority of their work done in the evening.",Michael,Benjamin,1
The woman added a collagen supplement to her morning fruit smoothie because the _ masked the taste.,collagen,smoothie,2
"The cook looked for a bowl to put the soup dish in instead of a plate, because the _ was deep enough to hold the liquid.",bowl,plate,1
"She always wore the headscarf in the summer and not the hoodie, because the _ was lighter.",headscarf,hoodie,1
Since the girl was an introvert she chose to play on the slide instead of the merry-go-round because the _ was deserted.,slide,merry-go-round,1
Jason cleaned the oven with vinegar because _ loves the smell but William was mad because he hates the smell.,Jason,William,1
"Carrie offered to let Patricia use the umbrella, because _ 's jacket has no hood.",Carrie,Patricia,2
"Cynthia always wore headbands while playing sports unlike Patricia, because _ sweats more during the games.",Cynthia,Patricia,1
"Cynthia always rejected wearing headbands while playing sports unlike Patricia, because _ sweats more during the games.",Cynthia,Patricia,2
"Kenny likes to put on his coat before going out into a snowstorm, since the _ is very cold.",coat,snowstorm,2
Lucy wanted to have an outdoor party this year but she picked the fun center over the water park because she could get pizza at the _ .,fun center,water park,1
"Felicia has boots with zippers and Angela's boots don't have them, so _ unzipped their boots before taking them off.",Felicia,Angela,1
Marco didn't like the soda and fries he ordered for lunch because the _ was too salty.,soda,fries,2
"Eric took their studies far more seriously than Derrick, because _ was more concerned with graduating.",Eric,Derrick,1
"The shorts suited her but she decided to wear pants, because it's cold and the _ will keep her legs cold.",shorts,pants,1
The senior's walker fit in the hallway but got stuck in the doorway because the _ was narrower .,hallway,doorway,2
"The infestation of mites in the attic did not spread to the basement, since the _ was so prone to infestations.",attic,basement,1
Cynthia loved lounging on the deck in the morning while Kayla preferred to lounge in the evening. _ decided to watch the sunset for a change.,Cynthia,Kayla,1
Cynthia loved lounging on the deck in the morning while Kayla preferred to lounge in the evening. _ decided to watch the sunrise for a change.,Cynthia,Kayla,2
Donald finds scrubbing the toilet disgusting but Leslie doesn't. _ avoids cleaning the kitchen whenever possible.,Donald,Leslie,2
Mostly the ceiling gets mold during the cold season or rainy season. The _ is disgusting.,Ceiling,Mold,2
"Carrie kept a journal for 10 years but then stopped while Samantha kepti at it for 20 years, because _ got too busy.",Carrie,Samantha,1
"I lost the keys to my lock somewhere in the boxes, because the _ are so small.",keys,boxes,1
"Laura wanted to teach her students empathy with movies instead of books, because the _ were more entertaining.",books,movies,2
"The sight of blood made Erin faint, but not Samantha, which is why _ could never become a nurse.",Erin,Samantha,1
"The diet consisted mostly of fruit instead of things like meat, because the _ was alkaline.",fruit,meat,1
The tune of the songs were motivating to listen to while doing light housework but not while doing his serious job. The _ was more mild.,job,housework,2
"The tune of the songs were motivating to listen to while doing light housework, but not while doing his serious job. The _ was more intense.",job,housework,1
The veterinarian tried to use the chemicals to kill the lice but the _ were too strong.,lice,chemicals,1
"Samantha is lazy and does not move around much, Amy does and that is why _ is skinny.",Samantha,Amy,2
Donald was trying to gain weight and Ryan was trying to lose weight so _ ate pizza for dinner.,Donald,Ryan,1
"Sarah never placed a bet on anything unlike Cynthia, because _ is careless with money.",Sarah,Cynthia,2
I couldn't decide if I should take my cat to the veterinarian or into the house for tapeworms.  I chose the _ and already had medications.,veterinarian,house,2
I couldn't decide if I should take my cat to the veterinarian or into the house for tapeworms.  I chose the _ and got some medications.,veterinarian,house,1
At dinner Felicia decided to pay for Elena's meal because _ had received a large bonus today.,Felicia,Elena,1
At dinner Felicia decided to pay for Elena's meal because _ had received a large bill today.,Felicia,Elena,2
Randy didn't think Kenneth was showing enough affection during their date so _ tried to be more affectionate.,Randy,Kenneth,2
Their daughter could not relate more to Katrina than to Sarah on somethings because _ was a male.,Katrina,Sarah,2
Their daughter could relate more to Katrina than to Sarah on somethings because _ was a female.,Katrina,Sarah,1
Felicia hit Tanya's car so _ offered to paint the bumper because it was the right thing to do.,Felicia,Tanya,1
"While having a discussion about what to make for dinner, Leslie suggested making rice; Joseph preferred pasta. _ agreed to make rice instead.",Leslie,Joseph,2
"While having a discussion about what to make for dinner, Leslie suggested making rice; Joseph preferred pasta. _ agreed to make pasta instead.",Leslie,Joseph,1
I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I stored the _ for now.,raisins,peanuts,2
I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I ate the _ for now.,raisins,peanuts,1
Nick's door squeaks a lot louder than Brett's because _ has not fixed it yet this week.,Nick,Brett,1
Nick's door squeaks a lot softer than Brett's because _ has not fixed it yet this week.,Nick,Brett,2
Felicia was a caring family man while Angela was more of a loner. _ had a big crowd at their Christmas party.,Felicia,Angela,1
She wanted to read the story to her first grade class but the _ was too loud.,story,class,2
Betty but not Rebecca would be a good private investigator because _ knew how to go unnoticed in a crowd.,Betty,Rebecca,1
Lawrence helped Brian to paint his house in blue and white and looks good because _ has a big house to paint alone.,Lawrence,Brian,2
"She was able to remember where the bench was, but forgot how to find the tree, because when learning about the _ she had paid attention.",tree,bench,2
John realized he needed to scoop several spoonful of butter to empty the bucket because the _ is too big.,spoon,bucket,2
The tree in Monicas yard was a lot bigger than that of Lindsey because _ had an older tree.,Monica,Lindsey,1
The tree in Monicas yard was a lot smaller than that of Lindsey because _ had an older tree.,Monica,Lindsey,2
Rebecca was notified by the company the Monica had no ambition in while working on the project but _ would not sit down to talk about it.,Rebecca,Monica,2
Steven struggles with their children's bad behavior while Dennis enjoys their children as _ is inconsistence in child discipline.,Steven,Dennis,1
Betty ends up with a lot more knots in their hair than Mary because _ has short hair.,Betty,Mary,2
"Betty ends up with a lot more knots in their hair than Mary because _ has long, flowing hair.",Betty,Mary,1
"James tried cutting the box with a blade but he failed, so he used a knife and it was a success. It appeared the _ is blunt.",blade,knife,1
Jane cut a hair cut with a scissor after the blade had failed her. She thought the _ is sharp.,blade,scissor,2
The stain was removed when he poured more soda on it and then scrubbed with a brush.  The _ was surprisingly effective.,soda,brush,1
"Dennis sold a bunch of illegal pills to Donald, so _ now has a lot of money.",Dennis,Donald,1
The film that Emily made was financed entirely by Amy. This makes _ the film's director.,Emily,Amy,1
James used the vacuum cleaner to sweep around the home and it got the _ dirty.,home,cleaner,2
"The man put the brocolli in the microwave while eating the potato, because the _ was cold.",brocolli,potato,1
Ben needed to wash his shoes and shirts. He chose to wash the _ because he liked to walk with dirty shoes.,shoes,shirts,2
Emily felt the beret looked lovely but Victoria felt foolish. _ felt strongly you had to be French to wear the hat.,Emily,Victoria,2
Emily felt the beret looked lovely but Victoria felt foolish. _ didn't think you had to be French to wear the hat.,Emily,Victoria,1
"Christopher had a hangover from the night of the party, while Donald was not, because _ was a heavyweight drunk.",Christopher,Donald,2
"Christopher had a hangover from the night of the party, while Donald was not, because _ was a lightweight drunk.",Christopher,Donald,1
Steven put off his jacket and gave it to Craig to put it on because _ is feeling hot.,Steven,Craig,1
Steven put off his jacket and gave it to Craig to put it on because _ is feeling colf.,Steven,Craig,2
"Emily wanted to buy movie tickets at the booth but Lindsey wanted to buy them online, because _ was old fashion.",Emily,Lindsey,1
Brett forgot to put down the puppy pads so his dog peed on Donald's floor so _ offered to clean it up.,Brett,Donald,1
"The Italian dish needed spices, so we went with paprika instead of habanero as the _ was delicious.",paprika,habanero,1
Victoria bought wood floors and Lindsey bought carpet because _ likes the hard sensation on their feet.,Victoria,Lindsey,1
"His razor could not trim the beard very well, although it did a good job with the mustache , because the _ had softer hair.",beard,mustache,2
Logan always felt that he had to prove everything to everybody unlike Jason because _ was always the favorite.,Logan,Jason,2
"Dennis helped Kevin to save money by telling him how to file a lawsuit in small claims court by himself, _ is full of frugal living tips.",Dennis,Kevin,1
"Laura always needed a companion, but not Felicia because _ didn't have a fear of being alone.",Laura,Felicia,2
Jessica sneezed less than Carrie was sneezing because there was more dust in the room of _ .,Jessica,Carrie,2
"Although Samuel was more of a sneakerhead than Robert, _ overlooked a great pair of Converse.",Samuel,Robert,1
"The farmer wanted to breed more shrimp, so he tried a new brand of feed and enclosure, but the _  was tasteless.",feed,enclosure,1
The snow was piled so high in the driveway that we had to call a removal service to clear the _ .,snow,driveway,2
"Tanya ate a lot of candy as a child whereas Felicia ate vegetables. As a result, _ had great teeth.",Tanya,Felicia,2
"Tanya ate a lot of candy as a child whereas Felicia ate vegetables. As a result, _ had poor teeth.",Tanya,Felicia,1
"Unlike Benjamin, Adam drove a hybrid electric vehicle because _ wanted to reduce smog pollution.",Benjamin,Adam,1
"Unlike Benjamin, Adam drove a hybrid electric vehicle because _ wanted to increase smog pollution.",Benjamin,Adam,2
"Maria needed the job more than Laura, since _ had not gone that long without earning a wage.",Maria,Laura,2
"I tried to put the chair on the back of the bicycle, but I couldn't because the _ was too weak.",chair,bicycle,2
Joseph requested buttercream from his neighbor Justin because he was cooking. _ didn't have enough buttercream.,Joseph,Justin,1
The man skipped watering the plant and only watered the lawn because the _ was dry.,plant,lawn,2
The man skipped watering the plant and only watered the lawn because the _ was moist.,plant,lawn,1
"He never comes to my home, but I always go to his house because the _ is smaller.",home,house,1
"Neil has recently gotten hepatitis A and asks for Kevin's advice, because _ has never had hepatitis.",Neil,Kevin,1
Ted got a worse grade on the summary than he did on the report although the _ was harder to do.,report,summary,1
Kayla drank more wine than Rachel at the wine tasting because _ enjoyed chatting and forgot to drink it.,Kayla,Rachel,2
"Kayla drank more wine than Rachel at the wine tasting, because _  enjoyed drinking and forgot to spit it out.",Kayla,Rachel,1
The orchids in the store looked a lot worse than the roses because the _ looked left alone.,roses,orchids,2
"The rehabilitator uses injections for horses and pills for dogs, Zeus is a dog so _ is the choice of treatment.",injection,pill,2
"While changing her eating routine, Sally stopped eating chips and replaced it with fruit. The _ were crunchy.",chips,fruit,1
Habits are a lot easier to enjoy than routines because the _ are usually more boring.,habits,routines,2
"Katrina wanted to tell Victoria they were a bisexual, even though _ already muster the courage to do so himself.",Katrina,Victoria,2
"Popsicles come in many flavors, but Kenneth only likes cherry and Ian likes them all because _ is not picky.",Kenneth,Ian,2
"Popsicles come in many flavors, but Kenneth only likes cherry and Ian likes them all because _ is very picky.",Kenneth,Ian,1
The recipe called for both baking powder and foot powder. The _ must have been correct.,foot,baking,2
Most people feel that Brian is arrogant while Ian is quite humble because _ often admits that he makes mistakes.,Brian,Ian,2
"Because Maria would not stop apologizing to Emily for breaking the glass, _ had their apology accepted.",Maria,Emily,1
I was more embarrassed of the wart on my hand than the one on my foot since the one on the _ was visible.,foot,hand,2
Adam placed the yoga mat and rolled it onto the floor to begin his yoga exercises. The _ was now flat.,floor,yoga mat,2
Donald liked to sing in the chorus while Steven sang solo because _ had a mediocre voice.,Donald,Steven,1
Donald liked to sing in the chorus while Steven sang solo because _ had a superior voice.,Donald,Steven,2
Ian slipped on oil that Donald spilled all over the kitchen floor. _ was angry.,Ian,Donald,1
Ian slipped on oil that Donald spilled all over the kitchen floor. _ was sorry.,Ian,Donald,2
The estate was known to have the biggest bank in the region. The _ was very big.,Estate,Bank,1
"The seeds planted by Samantha sprouted sooner than those planted by Christine, so _ had a longer bloom.",Samantha,Christine,1
"Randy was fed up with the heat, and Eric loved it, but _ was far more comfortable in cool climates.",Randy,Eric,1
"Randy was fed up with the heat, and Eric loved it, because _ was far less comfortable in cool climates.",Randy,Eric,2
"Because Emily had strep throat but Kayla had a cold, _ was given no prescription medications by the doctor.",Emily,Kayla,2
"Because Emily had strep throat but Kayla had a cold, _ was given antibiotics by the doctor.",Emily,Kayla,1
The salt shaker and sugar container were swapped so when the soup came out salty the chef knew he had used the _ .,Salt shaker,Sugar container,1
"Mabel is a nurse and she helps her patients take their medicine before they eat food, even though the _ is good on an empty stomach.",medicine,food,2
"Jessie want to catch an amazing bass, but could only catch salmon. The _ were playing all day.",bass,salmon,2
"The throw cleared the fence but crashed into the wall, as the _ was so much lower.",fence,wall,1
Lawrence applied airbrush effects to Jeffrey 's photo to cover his imperfections. _ was not very attractive.,Lawrence,Jeffrey,2
I punctured my tire and pulled over to see if I could patch it or put on the spare. The hole was big so I used the _ .,patch,spare,2
"Kayla is ignorant of card games, but Natalie is the opposite, so _ is more interested in game theory.",Kayla,Natalie,2
"Kayla is interested in card games, but Natalie is the opposite, so _ is more interested in game theory.",Kayla,Natalie,1
Cynthia loved dogs more than Jennifer but _ hated the Chihuahua because of the commercials.,Cynthia,Jennifer,1
Cynthia loved dogs more than Jennifer but _ loved the Chihuahua because of the commercials.,Cynthia,Jennifer,2
Ian ate a lot of turkey breast but not Kevin because _ was on a low fat diet.,Ian,Kevin,1
The manager asked Christopher to extend his contract and not Lawrence because _ was a lazier worker.,Christopher,Lawrence,2
The manager asked Christopher to extend his contract and not Lawrence because _ was a harder worker.,Christopher,Lawrence,1
"For his dogs, Matthew feeds them a lot of meat, while Ryan's eat mostly grains. _ 's dogs are happier.",Matthew,Ryan,1
"Katrina invited Elena to use the tanning bed, but _ didn't like getting an artifical tan.",Katrina,Elena,2
"Katrina invited Elena to use the tanning bed, because _ didn't like getting an artifical tan.",Katrina,Elena,1
"The roller coaster attendant told Angela they were to heavy to ride but Jessica was small enough, so _ skipped going on the ride.",Angela,Jessica,1
Eric was constantly harassing Kevin at work but he never responded.  _ was very angry.,Eric,Kevin,1
"At the farmer's market, Erin chose a lemon while Rebecca chose watermellon, because _ was craving something sweet.",Erin,Rebecca,2
Erin's dog had a much bigger neck than Kayla's dog so _ bought a shorter collar.,Erin,Kayla,2
"Crochet is one task you will never be able to learn said Lindsey to Maria, _ enjoys being mean to others.",Lindsey,Maria,1
"Crochet is one task you will never be able to learn said Lindsey to Maria, _ is never mean to others.",Lindsey,Maria,2
Lawrence dreamed of dating a model but Joel dreamed of dating an actor. _ went to the Emmy Awards to look for a date.,Lawrence,Joel,2
"Neil stayed dry in the bad weather,  but Hunter got drenched, because _ wore a raincoat.",Neil,Hunter,1
The best friends were writing letters to each other. Christine wrote in pen and Betty wrote in pencil so _ received a letter in ink.,Christine,Betty,2
Jennifer has the phone ringer set louder than Patricia because _ is hard of hearing.,Jennifer,Patricia,1
Jennifer has the phone ringer set softer than Patricia because _ is hard of hearing.,Jennifer,Patricia,2
During the annual competitive biking race Victoria went rushing past Lindsey when _ was tired.,Victoria,Lindsey,2
"Wearing a sweater in the house, the man had to take it off and wear a tee shirt when he went to the porch. The _ was cool.",house,porch,1
"Wearing a sweater in the house, the man had to take it off and wear a tee shirt when he went to the porch. The _ was warm.",house,porch,2
John preferred to drink cocktails instead of beer for his alcohol consummation. He thought that the _ was expensive and tasted amazing.,beer,cocktail,2
The seamstress wanted to put a button on the shirt with needle and thread but the _ kept breaking.,needle,thread,2
The bitter coffee was drunk happily by Logan but not William because _ got no sleep the night before.,Logan,William,1
The bitter coffee was drunk happily by Logan but not William because _ got plenty of sleep the night before.,Logan,William,2
"Natalie fell asleep at a graduation party at Sarah's house, then _ started to snore.",Natalie,Sarah,1
"Christopher's carpet has few stains on it, while Randy's is very dirty. The carpet of _ is 1 year old.",Christopher,Randy,1
I really need to upgrade my mouse and RAM on my computer. The computer gets too slow with the _ currently in it.,RAM,mouse,1
Victoria felt a lot of guilt over stealing penny sweets but Mary did not because _ had a weak conscience.,Victoria,Mary,2
Victoria felt a lot of guilt over stealing penny sweets but Mary did not because _ had a strong conscience.,Victoria,Mary,1
"The guidelines at my old job were a lot worse than the instructions at my new job, because the _ were stricter.",guidelines,instructions,1
"Emily took a long time to look at the menu, while Christine took a short time, so _ ordered last.",Emily,Christine,1
Timmy used the Discord software instead of the Skype software to chat with his friends because more of his friends used the _ .,Skype software,Discord software,2
Timmy used the Discord software instead of the Skype software to chat with his friends because fewer of his friends used the _ .,Skype software,Discord software,1
"Matthew has a very uncommon way of dressing but Steven dressed very conventionally, so it was pretty hard to pick _ out in a crowd.",Matthew,Steven,2
"Matthew has a very uncommon way of dressing but Steven dressed very conventionally, so it was pretty easy to pick _ out in a crowd.",Matthew,Steven,1
Lindsey did not feel the drip that got Jessica wet because _ was under the leaky spot in the roof.,Lindsey,Jessica,2
Lindsey did not feel the drip that got Jessica wet because _ was away from the leaky spot in the roof.,Lindsey,Jessica,1
"Ian usually wore contact lenses, whereas Steven stuck to wearing glasses, because _ had astygmatism.",Ian,Steven,2
"Carrie couldn't hear the noise in the background like Maria could, because _ had bad hearing.",Carrie,Maria,1
Billy wanted to sign up for the SAS so we waited in line to take his height and weight but the _ was was too short.,height,line,1
"Since Donald told Christopher his illness,  _ has spent more time at home taking care of the kids.",Donald,Christopher,1
"Since Donald told Christopher his illness,  _ has spent more time on bed instead of taking care of the kids.",Donald,Christopher,2
"Brian had a large collection of coins that Kevin really admired, so _ asked him for some duplicates.",Brian,Kevin,2
"Brian had a large collection of coins that Kevin really admired, so _ offered him some duplicates.",Brian,Kevin,1
"She preferred the position of the lamp over the position of the clock, because looking at the _ made her calm.",lamp,clock,1
It was raining hard and the hat got soaked. The color began to blend together. His mom said the _ was ugly anyway and it had too many hats.,hat,color,2
It was raining hard and the hat got soaked. The color began to blend together. His mom said the _ was ugly anyway because it had too many colors.,hat,color,1
"The material for the coat was much lower quality than for the hat, so the _ was more expensive.",hat,coat,1
"The project meant Emily collaborated with Victoria, who was not excited. _ loved working with others.",Emily,Victoria,1
"The payments were made by Jason to Dennis, as _ had borrowed so much money in the past.",Jason,Dennis,1
"The payments were made by Jason to Dennis, as _ had lent so much money in the past.",Jason,Dennis,2
The girl poured the powdered milk from the box into the glass of water.  The _ was wet.,water,milk,1
The girl poured the powdered milk from the box into the glass of water. The _ was dry.,water,milk,2
"Ben needed to work on the sculpture and food, but he did the _ first because he was full.",food,sculpture,2
"Mary decided to negotiate the price of the house but Natalie just accepted the first offer, since _ was a novice businessperson.",Mary,Natalie,2
"When the monkey flung poo at the crowd, Amy was quick to duck but not Tanya. _ didn't get poo on their clothes.",Amy,Tanya,1
"When the monkey flung poo at the crowd, Amy was quick to duck but not Tanya. _ got hit with poo on their clothes.",Amy,Tanya,2
"To exercise humility, Derrick decided to not say anything when Brian boasted about his exploits. _ exercised no humility.",Derrick,Brian,2
I preserved more strawberries than peaches last year because my husband hates to eat the _ .,peaches,strawberries,1
The skin of Jessica is much more bronze than that of Angela even though _ got a lot of sun.,Jessica,Angela,2
"The line for the water slide was long, and Hunter was up next until Ryan cut. _ was devious.",Hunter,Ryan,2
Jessica was hit by a baseball while watching the game with Jennifer. _ screamed because they were in shock at what happened.,Jessica,Jennifer,2
"So _ threw the yarn at the cat because Michael knew it wanted to play, while Neil just watched on.",Michael,Neil,2
"It took much bigger effort for Michael to cut a pumpkin than an eggplant, because the _ is soft.",pumpkin,eggplant,2
The weather was cold in the winter so the young girl wore a heavy coat; the _ made her cold.,coat,weather,2
"In the garden, the tomatoes grew faster than the potatoes due to the _ having fertilized dirt.",tomatoes,potatoes,1
The rice tasted better than the soup had tasted because the _ was perfectly seasoned.,rice,soup,1
"Kevin is experiencing too much eye strain trying to read in Dennis's dim bedroom, so _  offers more light.",Kevin,Dennis,2
"I brought out the playing cards and tarot cards, we wanted to have a prediction so I took the _ and shuffled.",tarot cards,playing cards,1
"While Tanya dove deep underwater, Lindsey stayed on the shore, and thus _ was quite wet.",Tanya,Lindsey,1
"The nails that I bought to construct the desks did not work, because the _ were too dull.",nails,desks,1
Dana preferred cooking marshmallows over the campfire instead of hot dogs because less of the _ could fit on a stick.,marshmallows,hot dogs,2
The eggs smelled a lot worse than the vegetables because the _ were still good.,eggs,vegetables,2
